Protein	geneSymbol	clear.drop.at.day.10_11	TMT1.agrees	RNA.protein.discordance
BACH1	BACH1	Y	y	Y
BCL11A_XL_L	BCL11A	Y	y	Y
CBP	CREBBP	Y	y	Y
CHD1	CHD1	Y	TMT not as strong but trending down	Y
coREST	RCOR1	Y	y	Y
CTCF*	CTCF	Y	y	Y
DOT1L	DOT1L	Y	y	Y
E12/E47	TCF3	Y	y	Y
E2F8	E2F4	Y	NA	Y
GATA1	GATA1	Y	y	Y
GFI1B	GFI1B	Y	y	Y
GR	NR3C1	Y	NA	Y
HCFC1	HCFC1	Y	y	Y
HDAC3	HDAC3	Y	y	Y
HLTF	HLTF	Y	y	Y
IKZF1	IKZF1	Y	y	Y
KAT2A	KAT2A	Y	y	Y
KLF1*	KLF1	Y	y	Y
KLF3	KLF1	Y	y	Y
LDB1*	LDB1	Y	y	Y
MAFF	MAFF	Y	NA	Y
MAFG	MAFG	Y	y	Y
MED1	MED1	Y	y	Y
MLL3	KMT2C	Y	y	Y
MLL4 (KMT2D)	KMT2D	Y	y	Y
MTA1	MTA1	Y	y	Y
NFE2	NFE2	Y	NA	Y
NR2C2	NR2C2	Y	y	Y
OGT	OGT	Y	y	Y
PSIP1	PSIP1	Y	y/n	Y
RAD21	RAD21	Y	y	Y
SCML2	SCML2	Y	y	Y
SMC3*	SMC3	Y	y	Y
SSRP1	SSRP1	Y	y	Y
SUZ12	SUZ12	Y	y	Y
TAL1*	TAL1	Y	y	Y
TFDP1	TFDP1	Y	y	Y
TRIM33	TRIM33	Y	y	Y
USF1	USF1	Y	y	Y
UTX	KDM6A	Y	y	Y
WDHD1	WDHD1	Y	y	Y
ZBTB7A*	ZBTB7A	Y	y	Y
