Protein	geneSymbol	clear.drop.at.day.10_11	TMT1.agrees	RNA.protein.discordance
CHD3	CHD3	Y	TMT down more than SRM	N
CHD4	CHD4	Y		N
CTBP2	CTBP2	Y		N
DNMT1	DNMT1	Y		N
EGR1	EGR1	Y		N
ELF1	ELF1	Y		N
ERG	ERG	N	continuous decrease	N
ETV6	ETV6	Y	continuous decrease	N
FLI1	FLI1	N	continuous decrease	N
GATA2	GATA2	N	drop begins at day 8.5	N
GATAD2A	GATAD2A	Y		N
HDAC1	HDAC1	Y		N
HMGB3	HMGB3	Y		N
HXB4	HOXB4	Y		N
KDM1A	KDM1A	Y		N
MNDA	MNDA	N	continous decrease	N
NELFE	NELFE	Y		N
PARP1	PARP1	Y		N
RFX5	RFX5	Y		N
RPB1	POLR2A	Y		N
RUNX1	RUNX1	Y		N
SET1B	SETD1B	Y		N
SETB1	SETDB1	Y		N
SIN3A	SIN3A	Y		N
SIR6	SIRT6	Y		N
SMCA4	SMARCA4	Y		N
SMRC1	SMARCC1	Y		N
SNF5	SMARCB1	Y		N
SOX6	SOX6	N	increase	N
SPI1	SPI1	N	continuous decrease	N
SPT16	SUPT16H	Y	TMT	N
STA5A	STAT5A	Y		N
T2FA	GTF2F1	Y		N
TF2B	GTF2B	Y		N
TF3C2	GTF3C2	Y		N
TFCP2	TFCP2	Y		N
WDR5	WDR5	Y		N
ZC11A	ZC3H11A	Y		N
