																												Abundances of TMT tag in MS3 (Normalized)							
Protein FDR Confidence: Combined	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Chromosome	WikiPathways	Gene Symbol	KEGG Pathways	Reactome Pathways	# Protein Pathway Groups	# Razor Peptides		"126, Day 2"	"127N, Day 7.5"	"128N, Day 8"	"129C, Day 10"	"130N, Day 12"	"131, Day 14"	# Protein Groups	Modifications
High	P78527	DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3	0	954.577	51	190	608	190	4128	468.8	7.12	1886.56	190	cell death;cell differentiation;cell organization and biogenesis;cell proliferation;defense response;metabolic process;regulation of biological process;response to stimulus	cytosol;membrane;nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00454, Pf02259, Pf02260, Pf08163"	5591	ENSG00000253729.7	8	miRNA Regulation of DNA Damage Response; Cell Cycle; Retinoblastoma (RB) in Cancer; Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation; Pathways Affected in Adenoid Cystic Carcinoma; ATM Signaling Network in Development and Disease; Non-homologous end joining; DNA Damage Response	PRKDC	Non-homologous end-joining; Cell cycle	Nonhomologous End-Joining (NHEJ); E3 ubiquitin ligases ubiquitinate target proteins; IRF3-mediated induction of type I IFN	22	0		51211.7	49366.7	51544.8	58859.4	34978.2	30818.6	1	
High	P46013	Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2	0	727.624	54	145	385	145	3256	358.5	9.45	1232.28	145	cell proliferation;metabolic process;regulation of biological process;response to stimulus	chromosome;cytoplasm;membrane;nucleus	DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00498, Pf08065, Pf15276"	4288	ENSG00000148773.13	10	Primary Focal Segmental Glomerulosclerosis FSGS	MKI67			1	0		26181.9	34276	32246.1	36366.3	20915.9	57140.4	1	
High	Q15149	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	0	667.669	43	175	366	173	4684	531.5	5.96	1106.09	175	cell organization and biogenesis	cytoplasm;cytoskeleton;cytosol;membrane	protein binding;RNA binding;structural molecule activity	"Pf00307, Pf00681, Pf03501, Pf07812"	5339	ENSG00000178209.14	8		PLEC		Assembly of collagen fibrils and other multimeric structures; Caspase-mediated cleavage of cytoskeletal proteins; Type I hemidesmosome assembly	11	2		34201.4	6162.9	7913.2	10207.4	68256.2	41299.6	1	
High	O75643	U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2	0	600.352	54	101	381	100	2136	244.4	6.06	1217	101	cell differentiation;cell organization and biogenesis;metabolic process	membrane;nucleus;spliceosomal complex	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf02889, Pf04851"	23020	ENSG00000144028.14	2		SNRNP200	Spliceosome	mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	6	1		28395.9	32323.8	32589.9	34473.9	25551.6	23015.3	1	
High	P12270	Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3	0	578.254	48	109	382	108	2363	267.1	5.02	1283.61	109	cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	chromosome;cytoplasm;cytoskeleton;membrane;nucleus	catalytic activity;motor activity;protein binding;RNA binding;structural molecule activity;transporter activity	"Pf00038, Pf01496, Pf01576, Pf02463, Pf03961, Pf04111, Pf05911, Pf07888, Pf07926, Pf09726, Pf12128, Pf13166, Pf13514"	7175	ENSG00000047410.13	1		TPR	Pathways in cancer; RNA transport; Thyroid cancer	Rev-mediated nuclear export of HIV RNA; ISG15 antiviral mechanism; NEP/NS2 Interacts with the Cellular Export Machinery; tRNA processing in the nucleus; Transcriptional regulation by small RNAs; Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC); Nuclear Pore Complex (NPC) Disassembly; Regulation of Glucokinase by Glucokinase Regulatory Protein; Vpr-mediated nuclear import of PICs; Regulation of HSF1-mediated heat shock response; snRNP Assembly; SUMOylation of DNA replication proteins; Transport of the SLBP independent Mature mRNA; SUMOylation of RNA binding proteins; Viral Messenger RNA Synthesis; SUMOylation of chromatin organization proteins; Nuclear import of Rev protein;  NS1 Mediated Effects on Host Pathways; Transport of Mature mRNA Derived from an Intronless Transcript; Transport of the SLBP Dependant Mature mRNA; Transport of Ribonucleoproteins into the Host Nucleus; Transport of Mature mRNA derived from an Intron-Containing Transcript; SUMOylation of DNA damage response and repair proteins	69	1		27105.6	39339.6	36572.3	35022.8	18550	19604.8	1	
High	P49792	E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2	0	563.045	47	127	302	89	3224	358	6.2	936.45	127	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;mitochondrion;nucleus	catalytic activity;enzyme regulator activity;metal ion binding;protein binding;RNA binding	"Pf00160, Pf00515, Pf00638, Pf00641, Pf07719, Pf12185, Pf13414, Pf13432, Pf14559"	5903	ENSG00000153201.15	2		RANBP2	RNA transport	Rev-mediated nuclear export of HIV RNA; ISG15 antiviral mechanism; NEP/NS2 Interacts with the Cellular Export Machinery; Separation of Sister Chromatids; tRNA processing in the nucleus; Transcriptional regulation by small RNAs; Nuclear Pore Complex (NPC) Disassembly; Regulation of Glucokinase by Glucokinase Regulatory Protein; Vpr-mediated nuclear import of PICs; Regulation of HSF1-mediated heat shock response; snRNP Assembly; SUMOylation of DNA replication proteins; Transport of the SLBP independent Mature mRNA; SUMOylation of RNA binding proteins; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Viral Messenger RNA Synthesis; SUMOylation of chromatin organization proteins; Nuclear import of Rev protein;  NS1 Mediated Effects on Host Pathways; Transport of Mature mRNA Derived from an Intronless Transcript; Transport of the SLBP Dependant Mature mRNA; Resolution of Sister Chromatid Cohesion; Transport of Ribonucleoproteins into the Host Nucleus; RHO GTPases Activate Formins; Transport of Mature mRNA derived from an Intron-Containing Transcript; SUMOylation of DNA damage response and repair proteins	77	40		25008.2	25671.7	25054.4	28190.2	13686.7	12231	1	
High	Q14980	Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2	0	559.96	59	109	328	5	2115	238.1	5.78	1086.14	109	cell differentiation;cell division;cell organization and biogenesis;metabolic process;regulation of biological process	chromosome;cytoplasm;cytoskeleton;cytosol;membrane;nucleus	protein binding;structural molecule activity	"Pf04111, Pf07888, Pf12128"	4926	ENSG00000137497.17	11	Ectoderm Differentiation	NUMA1		Mitotic Prophase; Recruitment of NuMA to mitotic centrosomes	7	110		30694.9	18106.7	17823.9	20897.3	14219.8	22621.8	1	
High	Q14204	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5	0	557.372	34	138	264	138	4646	532.1	6.4	791.61	138	cell division;cell organization and biogenesis;cellular component movement;regulation of biological process;transport	cytoplasm;cytoskeleton;cytosol;extracellular;membrane;organelle lumen	catalytic activity;motor activity;nucleotide binding;protein binding;RNA binding	"Pf00769, Pf03028, Pf03915, Pf04156, Pf07246, Pf07728, Pf08385, Pf08393, Pf12774, Pf12775, Pf12777, Pf12780, Pf12781, Pf13173, Pf13207, Pf13401"	1778	ENSG00000197102.10	14		DYNC1H1	Salmonella infection; Vasopressin-regulated water reabsorption; Phagosome	COPI-independent Golgi-to-ER retrograde traffic; Regulation of PLK1 Activity at G2/M Transition; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Recruitment of NuMA to mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Loss of Nlp from mitotic centrosomes; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Neutrophil degranulation; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; COPI-mediated anterograde transport; MHC class II antigen presentation; HSP90 chaperone cycle for steroid hormone receptors (SHR)	50	0		12514.3	12655.9	8932	10306.9	18833.3	22279.3	1	
High	P02549	"Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5"	0	553.58	56	111	281	111	2419	279.8	5.05	899.84	111	cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;membrane	metal ion binding;protein binding;structural molecule activity	"Pf00018, Pf00435, Pf07653, Pf08726, Pf14604"	6708	ENSG00000163554.12	1		SPTA1	Apoptosis	Interaction between L1 and Ankyrins; COPI-mediated anterograde transport; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Interleukin-20 family signaling	22	0		1823.4	3564.1	3982.5	8496.2	18657.1	113368.2	1	
