Protein FDR Confidence: Combined	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Chromosome	WikiPathways	Gene Symbol	KEGG Pathways	Reactome Pathways	# Protein Pathway Groups	# Razor Peptides		"126, Day 2"	"127N, Day 7.5"	"128N, Day 8"	"129C, Day 10"	"130N, Day 12"	"131, Day 14"	# Protein Groups	Modifications
High	O75643	U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2	0	600.352	54	101	381	100	2136	244.4	6.06	1217	101	cell differentiation;cell organization and biogenesis;metabolic process	membrane;nucleus;spliceosomal complex	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf02889, Pf04851"	23020	ENSG00000144028.14	2		SNRNP200	Spliceosome	mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	6	1	NA	28395.9	32323.8	32589.9	34473.9	25551.6	23015.3	1	
High	Q6P2Q9	Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2	0	505.19	51	104	362	104	2335	273.4	8.84	1138.77	104	cell organization and biogenesis;metabolic process;response to stimulus	membrane;nucleus;spliceosomal complex	catalytic activity;protein binding;RNA binding	"Pf01398, Pf08082, Pf08083, Pf08084, Pf10596, Pf10597, Pf10598, Pf12134"	10594	ENSG00000174231.16; ENSG00000274442.2	17; CHR_HSCHR17_1_CTG2	mRNA Processing	PRPF8	Spliceosome	mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	7	0	NA	27997.1	29583	30200.8	32701.3	24321.5	21683.5	1	
High	O75533	Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3	0	355.076	59	59	218	59	1304	145.7	7.09	700.34	59	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	nucleus;spliceosomal complex	DNA binding;protein binding;receptor activity;RNA binding;signal transducer activity	"Pf02161, Pf08920, Pf12815, Pf13513"	23451	ENSG00000115524.15	2	mRNA Processing	SF3B1	Spliceosome	B-WICH complex positively regulates rRNA expression; mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	11	0	NA	12282	14939.5	15034.5	16644.2	11233.7	10018.3	1	
High	Q12906	Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3	0	310.627	60	42	229	37	894	95.3	8.76	731.41	42	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;extracellular;membrane;mitochondrion;nucleus	DNA binding;protein binding;RNA binding	"Pf00035, Pf07528, Pf14709"	3609	ENSG00000129351.17	19		ILF3			0	6	NA	25785.5	23382	23222.8	22375.3	13086	13199.2	1	
High	Q15029	116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1	0	289.582	66	47	191	46	972	109.4	5	623.5	47	cell organization and biogenesis;metabolic process;response to stimulus	cytosol;membrane;nucleus;spliceosomal complex	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00009, Pf00679, Pf03144, Pf03764, Pf14492"	9343	ENSG00000108883.12	17	mRNA Processing	EFTUD2	Spliceosome	mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	7	1	NA	13269.3	16063.4	15864.5	15254.4	10711.3	11451	1	
High	Q9NR30	Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5	0	275.376	53	42	178	39	783	87.3	9.28	609.4	42	cell differentiation;metabolic process;regulation of biological process;response to stimulus	cytoplasm;membrane;nucleus	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf08152, Pf14617"	9188	ENSG00000165732.12	10		DDX21		Major pathway of rRNA processing in the nucleolus and cytosol; B-WICH complex positively regulates rRNA expression	8	3	NA	18766.1	21288.3	21524.3	21627.9	9708.4	7871.8	1	
High	Q00839	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	0	270.695	55	42	253	6	825	90.5	6	757.97	42	cell differentiation;metabolic process;regulation of biological process;response to stimulus	cell surface;chromosome;cytoplasm;membrane;nucleus;spliceosomal complex	DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00622, Pf13671"	3192	ENSG00000153187.18	1	mRNA Processing	HNRNPU	Spliceosome	mRNA Splicing - Major Pathway	6	48	NA	17485.8	22472.8	21233.2	21820.6	16085.6	13381.8	1	
High	P52272	Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3	0	253.413	65	39	244	39	730	77.5	8.7	696.29	39	metabolic process;regulation of biological process;response to stimulus	membrane;nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf11532, Pf11608, Pf13893, Pf14259"	4670	ENSG00000099783.11	19	mRNA Processing	HNRNPM	Spliceosome	mRNA Splicing - Major Pathway; FGFR2 alternative splicing	11	0	NA	18166	19125.8	19257	20628.2	13073.8	12208.5	1	Met-loss [N-Term]
High	A0A1W2PPS1	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=1	0	246.09	54	38	243	2	804	88.3	5.78	738.76	38		nucleus	protein binding	"Pf00622, Pf13671"		ENSG00000153187.18	1					0	0	NA	590	866.8	621.4	807.2	711	1116	1	
High	P10809	"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2"	0	237.563	71	33	160	33	573	61	5.87	549.5	33	cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;cytosol;endosome;membrane;mitochondrion;organelle lumen	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	Pf00118	3329	ENSG00000144381.16	2	Apoptosis-related network due to altered Notch3 in ovarian cancer; Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways	HSPD1	Tuberculosis; Legionellosis; Type I diabetes mellitus; RNA degradation	TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation; Mitochondrial protein import; Metabolism of proteins	13	0	NA	12904	10503.3	11239.7	10317.5	14658.9	10198.4	1	
